party,mode,year,daysbefore,n_earlyvotes,n_early_cumulative
democratic,IN-PERSON,2020,-26,2,2
democratic,MAIL-IN,2020,-26,4219,4219
republican,MAIL-IN,2020,-26,5763,5763
democratic,IN-PERSON,2020,-25,0,2
democratic,MAIL-IN,2020,-25,3490,7709
republican,MAIL-IN,2020,-25,2604,8367
democratic,IN-PERSON,2020,-24,0,2
democratic,MAIL-IN,2020,-24,1261,8970
republican,MAIL-IN,2020,-24,1278,9645
democratic,IN-PERSON,2020,-23,0,2
democratic,MAIL-IN,2020,-23,1965,10935
republican,MAIL-IN,2020,-23,1672,11317
democratic,IN-PERSON,2020,-22,0,2
democratic,MAIL-IN,2020,-22,4077,15012
republican,MAIL-IN,2020,-22,3046,14363
democratic,IN-PERSON,2020,-21,0,2
democratic,MAIL-IN,2020,-21,2245,17257
republican,MAIL-IN,2020,-21,1340,15703
democratic,IN-PERSON,2020,-20,0,2
democratic,MAIL-IN,2020,-20,409,17666
republican,MAIL-IN,2020,-20,140,15843
democratic,IN-PERSON,2020,-19,0,2
democratic,MAIL-IN,2020,-19,1,17667
republican,MAIL-IN,2020,-19,4,15847
democratic,IN-PERSON,2020,-18,0,2
democratic,MAIL-IN,2020,-18,5046,22713
republican,MAIL-IN,2020,-18,4550,20397
democratic,IN-PERSON,2020,-17,0,2
democratic,MAIL-IN,2020,-17,2738,25448
republican,MAIL-IN,2020,-17,2131,22528
democratic,IN-PERSON,2020,-16,0,2
democratic,MAIL-IN,2020,-16,4489,29937
republican,MAIL-IN,2020,-16,3383,25911
democratic,IN-PERSON,2020,-15,0,2
democratic,MAIL-IN,2020,-15,3786,33723
republican,MAIL-IN,2020,-15,4001,29912
democratic,IN-PERSON,2020,-14,0,2
democratic,MAIL-IN,2020,-14,4333,38056
republican,MAIL-IN,2020,-14,3210,33121
democratic,IN-PERSON,2020,-13,0,2
democratic,MAIL-IN,2020,-13,600,38652
republican,MAIL-IN,2020,-13,211,33332
democratic,IN-PERSON,2020,-12,0,2
democratic,MAIL-IN,2020,-12,104,38756
republican,MAIL-IN,2020,-12,77,33409
democratic,IN-PERSON,2020,-11,0,2
democratic,MAIL-IN,2020,-11,707,39463
republican,MAIL-IN,2020,-11,861,34270
democratic,IN-PERSON,2020,-10,59954,59956
democratic,MAIL-IN,2020,-10,6674,46137
republican,IN-PERSON,2020,-10,83715,83715
republican,MAIL-IN,2020,-10,6551,40821
democratic,IN-PERSON,2020,-9,50372,110328
democratic,MAIL-IN,2020,-9,5924,52056
republican,IN-PERSON,2020,-9,77714,161429
republican,MAIL-IN,2020,-9,3106,43926
democratic,IN-PERSON,2020,-8,46495,156823
democratic,MAIL-IN,2020,-8,8564,60620
republican,IN-PERSON,2020,-8,74554,235983
republican,MAIL-IN,2020,-8,5923,49848
democratic,IN-PERSON,2020,-7,60359,217181
democratic,MAIL-IN,2020,-7,6390,66999
republican,IN-PERSON,2020,-7,97905,333888
republican,MAIL-IN,2020,-7,6674,56520
democratic,IN-PERSON,2020,-6,59730,276911
democratic,MAIL-IN,2020,-6,3754,70749
republican,IN-PERSON,2020,-6,53494,387382
republican,MAIL-IN,2020,-6,3445,59958
democratic,IN-PERSON,2020,-5,27461,304372
democratic,MAIL-IN,2020,-5,1432,72181
republican,IN-PERSON,2020,-5,18697,406079
republican,MAIL-IN,2020,-5,194,60152
democratic,IN-PERSON,2020,-4,66812,371184
democratic,MAIL-IN,2020,-4,9373,81554
republican,IN-PERSON,2020,-4,85035,491114
republican,MAIL-IN,2020,-4,9094,69246
democratic,IN-PERSON,2020,-3,75706,446890
democratic,MAIL-IN,2020,-3,7001,88542
republican,IN-PERSON,2020,-3,95067,586181
republican,MAIL-IN,2020,-3,4137,73350
democratic,IN-PERSON,2020,-2,87674,534564
democratic,MAIL-IN,2020,-2,8286,96799
republican,IN-PERSON,2020,-2,92383,678564
republican,MAIL-IN,2020,-2,5987,79314
democratic,IN-PERSON,2020,-1,118321,652885
democratic,MAIL-IN,2020,-1,9439,106170
republican,IN-PERSON,2020,-1,115827,794391
republican,MAIL-IN,2020,-1,6071,85329
democratic,IN-PERSON,2020,0,233380,886091
democratic,MAIL-IN,2020,0,8577,113201
republican,IN-PERSON,2020,0,192242,984304
republican,MAIL-IN,2020,0,5929,88427
