county,abs_applications,abs_transmitted,abs_returned
ADAMS COUNTY,3282,3416,3157
ASHLAND COUNTY,2494,2467,2141
BARRON COUNTY,6204,6506,5889
BAYFIELD COUNTY,3613,3660,3468
BROWN COUNTY,53159,52220,45990
BUFFALO COUNTY,2086,2210,1971
BURNETT COUNTY,1985,2074,1827
CALUMET COUNTY,10367,11094,9643
CHIPPEWA COUNTY,12097,11844,11072
CLARK COUNTY,3371,3239,1968
COLUMBIA COUNTY,12333,12687,12046
CRAWFORD COUNTY,2568,2541,2358
DANE COUNTY,174644,177774,156962
DODGE COUNTY,15424,16683,15561
DOOR COUNTY,9344,9294,6716
DOUGLAS COUNTY,7150,7085,6281
DUNN COUNTY,6976,6946,5463
EAU CLAIRE COUNTY,22823,22723,19070
FLORENCE COUNTY,852,700,674
FOND DU LAC COUNTY,18873,19572,18233
FOREST COUNTY,1527,1503,1298
GRANT COUNTY,7620,7977,7132
GREEN COUNTY,8013,7967,7413
GREEN LAKE COUNTY,3320,3302,3116
IOWA COUNTY,4815,5472,5167
IRON COUNTY,1444,1865,1748
JACKSON COUNTY,2562,2554,1900
JEFFERSON COUNTY,17341,18196,16009
JUNEAU COUNTY,3212,3141,2375
KENOSHA COUNTY,29198,29504,25889
KEWAUNEE COUNTY,4023,3971,3622
LA CROSSE COUNTY,23546,24678,21706
LAFAYETTE COUNTY,2671,2777,2633
LANGLADE COUNTY,2816,2804,2597
LINCOLN COUNTY,4563,4544,3470
MANITOWOC COUNTY,14744,15186,14229
MARATHON COUNTY,23250,25070,22451
MARINETTE COUNTY,6717,7658,7096
MARQUETTE COUNTY,2446,2377,2179
MENOMINEE COUNTY,112,74,57
MILWAUKEE COUNTY,192572,200417,169122
MONROE COUNTY,5810,5711,4813
OCONTO COUNTY,6519,6406,5985
ONEIDA COUNTY,7641,8198,7278
OUTAGAMIE COUNTY,40211,39975,35345
OZAUKEE COUNTY,29273,29163,26103
PEPIN COUNTY,990,928,434
PIERCE COUNTY,5311,6173,5680
POLK COUNTY,4903,5346,4893
PORTAGE COUNTY,12508,14551,13312
PRICE COUNTY,2672,2682,2577
RACINE COUNTY,44228,43895,38799
RICHLAND COUNTY,2906,2877,2667
ROCK COUNTY,28017,29371,26575
RUSK COUNTY,1870,1832,1197
ST. CROIX COUNTY,12227,14438,12684
SAUK COUNTY,14893,14959,13724
SAWYER COUNTY,2248,2970,2747
SHAWANO COUNTY,6394,6352,6006
SHEBOYGAN COUNTY,25564,25511,23686
TAYLOR COUNTY,2778,2759,2523
TREMPEALEAU COUNTY,3802,3768,3501
VERNON COUNTY,5007,5040,4113
VILAS COUNTY,5410,5345,4972
WALWORTH COUNTY,20109,21900,19899
WASHBURN COUNTY,2828,2756,2520
WASHINGTON COUNTY,35601,39354,37655
WAUKESHA COUNTY,122564,128641,119185
WAUPACA COUNTY,9482,9326,8696
WAUSHARA COUNTY,3779,3772,3412
WINNEBAGO COUNTY,36436,38204,32618
WOOD COUNTY,11473,14122,13193
